status,product_area,response,justification,request_type
replied,HackerRank · Interviews · Interview Settings,"Moving to lobby Tip: With the candidate lobby, you can set up your interview questions ahead of the interview time and not worry about the questions being leaked to the candidate before the interview. Moving a candidate to the Lobby Also, candidates are automatically pushed back to the lobby when all the interviewers leave the interview. Admitting a Candidate You can also move the candidate to the lobby whenever you want without ending the interview. Interviewer Lobby With multiple interviewers accessing the same link for an interview, there are chances of interviewers or recruiters abruptly entering the interview while it is already in progress.",Low-risk issue with strong documentation match (score 64.0) above threshold 10.0.,product_issue
escalated,Claude Mobile apps · Claude for iOS,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,Escalation rule matched (Ambiguous organization field with modest retrieval confidence).,bug
replied,HackerRank · Screen · Managing Tests,"Select the role drop-down next to their name. In the Share Test dialog box, locate the user or team.",Low-risk issue with strong documentation match (score 28.3) above threshold 10.0.,product_issue
replied,HackerRank · Settings · User Account Settings and Preferences,"Initiate Pause Subscription - Click the Cancel Plan button. The UI will display a prompt about the new Pause Subscription feature. Select the desired pause duration: - Minimum: 1 month - Maximum: 12 months - Confirm Pause - Click Confirm Pause. A confirmation message will appear, displaying the pause duration and the automatic resume date.",Low-risk issue with strong documentation match (score 35.9) above threshold 10.0.,product_issue
escalated,Claude · Team and Enterprise plans · Admin management,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,Escalation rule matched (Widespread outage or critical platform failure reported).,bug
escalated,Visa · support_md,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,"Escalation rule matched (Sensitive, adversarial, account-specific, or policy-heavy request).",product_issue
escalated,HackerRank · Additional Resources · Job Search and Applications,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,Escalation rule matched (Widespread outage or critical platform failure reported).,bug
escalated,HackerRank · Certifications,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,"Escalation rule matched (Sensitive, adversarial, account-specific, or policy-heavy request).",product_issue
replied,Visa · support_md,"How do I dispute a charge? To dispute a charge, please contact your issuer or bank using the freephone number (only free when dialling from within the USA) located on the front or back of your Visa card. In many cases, your issuer or bank will require detailed information regarding the transaction before resolving the disputed charge.",Low-risk issue with strong documentation match (score 39.6) above threshold 10.0.,product_issue
escalated,Claude · Safeguards,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,"Escalation rule matched (Sensitive, adversarial, account-specific, or policy-heavy request).",bug
replied,Claude · Privacy and legal,"Anthropic’s Bots respect anti-circumvention technologies (e.g., we will not attempt to bypass CAPTCHAs for the sites we crawl.) To limit crawling activity, we support the non-standard Crawl-delay extension to robots.txt. As part of our mission to build safe and reliable frontier systems and advance the field of responsible AI development, we’re sharing the principles by which we collect data as well as instructions on how to opt out of our crawling going forward: - Our collection of data should be transparent. Anthropic’s Bots respect “do not crawl” signals by honoring industry standard directives in robots.txt. Our crawling should not be intrusive or disruptive.",Low-risk issue with strong documentation match (score 24.5) above threshold 10.0.,product_issue
escalated,Visa · travel_support,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,"Escalation rule matched (Sensitive, adversarial, account-specific, or policy-heavy request).",product_issue
replied,Claude · Account management,"Your data is used solely to make Claude better for everyone - we do not use such personal data to contact people, build profiles about them, to try to sell or market anything to them, or to sell the information itself to any third party. How We Protect Your Data When You Help Improve Claude When you allow us to use your chats or coding sessions to help improve Claude, we implement several layers of protection for your privacy. We will use tools and processes derived from our work on privacy-preserving analysis tools to filter or obfuscate sensitive data. In addition to that, our pioneering research in post-training techniques helps to minimize the amount of personal data included in Claude’s outputs.",Low-risk issue with strong documentation match (score 31.5) above threshold 10.0.,product_issue
escalated,Library · Additional Resources · Project Questions,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,"Escalation rule matched (Sensitive, adversarial, account-specific, or policy-heavy request).",invalid
escalated,Visa · travel_support,Thanks for reaching out. Your request needs a closer look from the support team with access to your account and organization details.,"Escalation rule matched (Sensitive, adversarial, account-specific, or policy-heavy request).",product_issue
replied,Claude · Amazon Bedrock,"If you're using Claude through AWS Bedrock, your usage is non-refundable. _Last updated: 2026-03-16T21:17:13Z_ Contact AWS Support for Claude in Amazon Bedrock support inquiries or reach out to your AWS account manager. How can I get a refund for my usage through Amazon Bedrock? I use Claude in Amazon Bedrock.",Low-risk issue with strong documentation match (score 22.4) above threshold 10.0.,bug
replied,HackerRank · Screen · Managing Tests,"Inviting an internal employee: If you invite an internal employee who does not have a HackerRank for Work license, the invitation consumes an attempt when the employee launches the test.",Low-risk issue with strong documentation match (score 19.6) above threshold 10.0.,product_issue
replied,Claude for Education,"Key Name: Claude LTI 2. Click ""+ Developer Key"" then ""+ LTI Key."" 3. Redirect URIs: https://claude.ai/lti/launch 4. Description: Enter a short description for the Canva LTI 1.3 app 3.",Low-risk issue with strong documentation match (score 22.5) above threshold 10.0.,product_issue
replied,Visa · support_md,"If you encounter an issue where a merchant has refused to accept your Visa card on the basis that the merchant requires a minimum or maximum amount on a Visa debit card, or requires that the purchase amount on a credit card is greater than US $10, please notify your Visa card issuer. Can a merchant set a maximum or minimum limit for using my Visa card? In those locations, and only for credit cards, a merchant may require a minimum transaction amount of US $10. However, exceptions apply in the USA and US territories – like Puerto Rico, the US Virgin Islands and Guam.",Low-risk issue with strong documentation match (score 88.7) above threshold 10.0.,product_issue
